Nombre,3DS,PC,PS3,PSP,PSV,X360,PS4,XOne,Año,Genero-Editorial,Unnamed2,Ventas NA,Ventas EU,Ventas JP,Ventas Otros,Ventas Global
MotoGP 15,,,,,,X360,,,2015,Racing-Milestone S.r.l.,,0,"0,01",0,0,"0,01"
"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",,,,,PSV,,,,2016,Adventure-N/A,,0,0,"0,02",0,"0,02"
Mortal Kombat X,,,,,,,PS4,,2015,Fighting-Warner Bros. Interactive Entertainment,,"1,47","0,76",0,"0,47","2,7"
Mortal Kombat X,,,,,,,,XOne,2015,Fighting-Warner Bros. Interactive Entertainment,,1,"0,21",0,"0,13","1,35"
Mortal Kombat X,,PC,,,,,,,2015,Fighting-Warner Bros. Interactive Entertainment,,"0,01","0,04",0,0,"0,05"
Monster Strike 3DS,3DS,,,,,,,,2015,"Action-mixi, Inc",,0,0,"0,86",0,"0,86"
Monster Hunter X,3DS,,,,,,,,2015,Action-Capcom,,"0,25","0,19","2,78","0,04","3,26"
Monster Hunter Diary: Poka Poka Airou Village DX,3DS,,,,,,,,2015,Action-Capcom,,0,0,"0,14",0,"0,14"
Monster High: New Ghoul in School,,,PS3,,,,,,2015,Action-Little Orbit,,0,"0,06",0,"0,01","0,07"
Monster High: New Ghoul in School,,,,,,X360,,,2015,Action-Little Orbit,,0,"0,04",0,0,"0,04"
Monster High: New Ghoul in School,3DS,,,,,,,,2015,Action-Little Orbit,,0,"0,03",0,0,"0,04"
Mobile Suit Gundam: Extreme VS Force,,,,,PSV,,,,2015,Action-Namco Bandai Games,,0,0,"0,16",0,"0,16"
MLB 16: The Show,,,,,,,PS4,,2016,Action-Sony Computer Entertainment,,"0,68",0,0,"0,16","0,84"
MLB 16: The Show,,,PS3,,,,,,2016,Action-Sony Computer Entertainment,,"0,13",0,0,"0,03","0,16"
MLB 15: The Show,,,,,,,PS4,,2015,Sports-Sony Computer Entertainment,,"0,67","0,08",0,"0,17","0,92"
MLB 15: The Show,,,PS3,,,,,,2015,Sports-Sony Computer Entertainment,,"0,3","0,01",0,"0,07","0,39"
MLB 15: The Show,,,,,PSV,,,,2015,Sports-Sony Computer Entertainment,,"0,03",0,0,"0,01","0,04"
Mirror's Edge Catalyst,,,,,,,PS4,,2016,Platform-Electronic Arts,,"0,1","0,14","0,02","0,06","0,32"
Mirror's Edge Catalyst,,,,,,,,XOne,2016,Platform-Electronic Arts,,"0,08","0,05",0,"0,02","0,15"
Mirror's Edge Catalyst,,PC,,,,,,,2016,Platform-Electronic Arts,,"0,01","0,03",0,"0,01","0,05"
Miracle Girls Festival,,,,,PSV,,,,2015,Misc-Sega,,0,0,"0,05",0,"0,05"
Minecraft: Story Mode,,,,,,X360,,,2015,Adventure-Mojang,,"0,46","0,38",0,"0,08","0,91"
Minecraft: Story Mode,,,PS3,,,,,,2015,Adventure-Mojang,,"0,25","0,33",0,"0,11","0,69"
Minecraft: Story Mode,,,,,,,PS4,,2015,Adventure-Mojang,,"0,23","0,33",0,"0,11","0,67"
Minecraft: Story Mode,,,,,,,,XOne,2015,Adventure-Mojang,,"0,29","0,21",0,"0,05","0,54"
Minecraft: Story Mode,,PC,,,,,,,2015,Adventure-Mojang,,"0,02","0,05",0,"0,01","0,08"
Mighty No. 9,,,,,,,PS4,,2016,Platform-Deep Silver,,"0,04",0,0,"0,01","0,05"
Mighty No. 9,,,,,,,,XOne,2016,Platform-Deep Silver,,"0,01",0,0,0,"0,01"
Might & Magic Heroes VII,,PC,,,,,,,2015,Strategy-Ubisoft,,0,"0,08",0,0,"0,09"
Metroid Prime: Federation Force,3DS,,,,,,,,2016,Action-Nintendo,,"0,02","0,01","0,01",0,"0,03"
Metal Gear Solid V: The Phantom Pain,,,,,,,PS4,,2015,Action-Konami Digital Entertainment,,"1,08","1,35","0,48","0,47","3,38"
Metal Gear Solid V: The Phantom Pain,,,,,,,,XOne,2015,Action-Konami Digital Entertainment,,"0,37","0,26","0,01","0,06","0,71"
Metal Gear Solid V: The Phantom Pain,,,PS3,,,,,,2015,Action-Konami Digital Entertainment,,"0,21","0,18","0,22","0,08","0,7"
Metal Gear Solid V: The Phantom Pain,,,,,,X360,,,2015,Action-Konami Digital Entertainment,,"0,12","0,08",0,"0,02","0,21"
Metal Gear Solid V: The Phantom Pain,,PC,,,,,,,2015,Action-Konami Digital Entertainment,,0,"0,07",0,0,"0,08"
MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,,,,,PSV,,,,2015,Role-Playing-Idea Factory,,0,"0,01","0,01",0,"0,03"
Meiji Toukyou Renka: Twilight Kiss,,,,PSP,,,,,2015,Action-Broccoli,,0,0,"0,02",0,"0,02"
MegaTagmension Blanc + Neptune VS Zombies,,,,,PSV,,,,2015,Action-Idea Factory International,,"0,02","0,03","0,05","0,01","0,12"
Mega Man Legacy Collection,3DS,,,,,,,,2016,Platform-Capcom,,"0,13",0,"0,05","0,02","0,2"
Mega Man Legacy Collection,,,,,,,PS4,,2016,Platform-Capcom,,"0,06",0,0,"0,01","0,07"
Medarot 9: Kabuto Ver. / Kuwagata Ver.,3DS,,,,,,,,2015,Role-Playing-Rocket Company,,0,0,"0,03",0,"0,03"
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,,,,,,,,2016,Role-Playing-Rocket Company,,0,0,"0,03",0,"0,03"
Medabots 9: Metabee / Rokusho,3DS,,,,,,,,2015,Role-Playing-Rocket Company,,0,0,"0,03",0,"0,03"
Mario vs. Donkey Kong: Tipping Stars,3DS,,,,,,,,2015,Puzzle-Nintendo,,0,0,"0,06",0,"0,06"
Mario & Sonic at the Rio 2016 Olympic Games,3DS,,,,,,,,2016,Action-Nintendo,,"0,04","0,16","0,24","0,01","0,46"
Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,,,,,,,,2015,Misc-Nintendo,,0,0,"0,01",0,"0,01"
Mario & Luigi: Paper Jam,3DS,,,,,,,,2015,Role-Playing-Nintendo,,"0,16","0,3","0,25","0,04","0,74"
Madden NFL 17,,,,,,,PS4,,2016,Sports-Electronic Arts,,"0,92","0,08",0,"0,23","1,23"
Madden NFL 17,,,,,,,,XOne,2016,Sports-Electronic Arts,,"0,72","0,02",0,"0,09","0,82"
Madden NFL 17,,,,,,X360,,,2016,Sports-Electronic Arts,,"0,06","0,01",0,"0,01","0,08"
Madden NFL 17,,,PS3,,,,,,2016,Sports-Electronic Arts,,"0,05","0,01",0,"0,01","0,08"
Madden NFL 16,,,,,,,PS4,,2015,Sports-Electronic Arts,,"2,33","0,3",0,"0,59","3,22"
Madden NFL 16,,,,,,,,XOne,2015,Sports-Electronic Arts,,"2,07","0,08",0,"0,26","2,4"
Madden NFL 16,,,,,,X360,,,2015,Sports-Electronic Arts,,"0,82","0,05",0,"0,1","0,98"
Madden NFL 16,,,PS3,,,,,,2015,Sports-Electronic Arts,,"0,56","0,11",0,"0,15","0,82"
Madden NFL 16,,,,,,X360,,,2015,Sports-Electronic Arts,,"0,82","0,05",0,"0,1","0,98"
Mad Max (2015),,,,,,,PS4,,2015,Action-Warner Bros. Interactive Entertainment,,"0,32","0,58","0,04","0,17","1,11"
Mad Max (2015),,,,,,,,XOne,2015,Action-Warner Bros. Interactive Entertainment,,"0,26","0,16",0,"0,04","0,46"
Luminous Arc Infinity,,,,,PSV,,,,2015,Action-Marvel Entertainment,,0,0,"0,05",0,"0,05"
Lovely x Cation 1 & 2,,,,,PSV,,,,2015,Action-5pb,,0,0,"0,02",0,"0,02"
Lost Heroes 2,3DS,,,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,07",0,"0,07"
Looney Tunes: Galactic Sports,,,,,PSV,,,,2015,Action-Sony Computer Entertainment,,0,"0,06",0,"0,02","0,08"
Life is Strange,,,,,,,PS4,,2016,Adventure-Square Enix,,"0,14","0,15","0,03","0,06","0,37"
Life is Strange,,,,,,,,XOne,2016,Adventure-Square Enix,,"0,08","0,02",0,"0,01","0,11"
Life is Strange,,PC,,,,,,,2016,Adventure-Square Enix,,"0,01","0,03",0,0,"0,04"
Let's Sing 2016,,,,,,,PS4,,2015,Action-FuRyu Corporation,,"0,02",0,0,"0,01","0,03"
Lego Star Wars: The Force Awakens,,,,,,,PS4,,2016,Action-Warner Bros. Interactive Entertainment,,"0,14","0,32",0,"0,08","0,54"
Lego Star Wars: The Force Awakens,,,,,,,,XOne,2016,Action-Warner Bros. Interactive Entertainment,,"0,12","0,1",0,"0,02","0,24"
Lego Star Wars: The Force Awakens,,,PS3,,,,,,2016,Action-Warner Bros. Interactive Entertainment,,"0,03","0,07",0,"0,02","0,12"
Lego Star Wars: The Force Awakens,,,,,,X360,,,2016,Action-Warner Bros. Interactive Entertainment,,"0,04","0,06",0,"0,01","0,11"
Lego Star Wars: The Force Awakens,,,,,PSV,,,,2016,Action-Warner Bros. Interactive Entertainment,,"0,02","0,05",0,"0,02","0,09"
Lego Star Wars: The Force Awakens,3DS,,,,,,,,2016,Action-Warner Bros. Interactive Entertainment,,"0,02","0,04",0,0,"0,07"
LEGO Ninjago: Shadow of Ronin,,,,,PSV,,,,2015,Action-Warner Bros. Interactive Entertainment,,"0,03","0,16",0,"0,05","0,24"
LEGO Ninjago: Shadow of Ronin,3DS,,,,,,,,2015,Action-Warner Bros. Interactive Entertainment,,"0,05","0,1","0,04","0,01","0,21"
LEGO Marvel's Avengers,,,,,,,PS4,,2016,Action-Warner Bros. Interactive Entertainment,,"0,25","0,29",0,"0,1","0,64"
LEGO Marvel's Avengers,,,,,,X360,,,2016,Action-Warner Bros. Interactive Entertainment,,"0,17","0,15",0,"0,03","0,34"
LEGO Marvel's Avengers,,,,,,,,XOne,2016,Action-Warner Bros. Interactive Entertainment,,"0,18","0,11",0,"0,03","0,32"
LEGO Marvel's Avengers,,,PS3,,,,,,2016,Action-Warner Bros. Interactive Entertainment,,"0,1","0,17",0,"0,05","0,32"
LEGO Marvel's Avengers,,,,,PSV,,,,2016,Action-Warner Bros. Interactive Entertainment,,"0,07","0,11",0,"0,05","0,23"
LEGO Marvel's Avengers,3DS,,,,,,,,2016,Action-Warner Bros. Interactive Entertainment,,"0,07","0,08","0,01","0,01","0,18"
LEGO Jurassic World,,,,,,X360,,,2015,Action-Warner Bros. Interactive Entertainment,,"0,47","0,4",0,"0,08","0,95"
LEGO Jurassic World,,,PS3,,,,,,2015,Action-Warner Bros. Interactive Entertainment,,"0,34","0,44",0,"0,15","0,93"
LEGO Jurassic World,,,,,,,PS4,,2015,Action-Warner Bros. Interactive Entertainment,,"0,32","0,42","0,01","0,14","0,89"
LEGO Jurassic World,,,,,,,,XOne,2015,Action-Warner Bros. Interactive Entertainment,,"0,35","0,22",0,"0,06","0,63"
LEGO Jurassic World,3DS,,,,,,,,2015,Action-Warner Bros. Interactive Entertainment,,"0,31","0,22","0,03","0,05","0,6"
LEGO Jurassic World,,,,,PSV,,,,2015,Action-Warner Bros. Interactive Entertainment,,"0,09","0,23",0,"0,09","0,41"
LEGO Jurassic World,,PC,,,,,,,2015,Action-Warner Bros. Interactive Entertainment,,0,"0,04",0,0,"0,04"
LEGO Jurassic World,,,,,,X360,,,2015,Action-Warner Bros. Interactive Entertainment,,"0,47","0,4",0,"0,08","0,95"
LEGO Jurassic World,,,PS3,,,,,,2015,Action-Warner Bros. Interactive Entertainment,,"0,34","0,44",0,"0,15","0,93"
LEGO Dimensions,,,,,,,PS4,,2015,Action-Warner Bros. Interactive Entertainment,,"0,22","0,32",0,"0,1","0,64"
LEGO Dimensions,,,,,,X360,,,2015,Action-Warner Bros. Interactive Entertainment,,"0,24","0,28",0,"0,05","0,56"
LEGO Dimensions,,,PS3,,,,,,2015,Action-Warner Bros. Interactive Entertainment,,"0,15","0,3",0,"0,09","0,54"
LEGO Dimensions,,,,,,,,XOne,2015,Action-Warner Bros. Interactive Entertainment,,"0,21","0,13",0,"0,03","0,37"
Legend of Kay Anniversary,,,,,,,PS4,,2015,Action-Nordic Games,,0,"0,02",0,0,"0,02"
Legend of Kay,,,,,,,PS4,,2015,Action-Nordic Games,,"0,02","0,03",0,"0,01","0,06"
Langrisser: Re:Incarnation Tensei,3DS,,,,,,,,2015,Role-Playing-Extreme Entertainment Group,,"0,02",0,"0,01",0,"0,03"
La Corda d'Oro 4,,,,,PSV,,,,2016,Action-Tecmo Koei,,0,0,"0,02",0,"0,02"
La Corda d'Oro 4,,,,,PSV,,,,2016,Action-Tecmo Koei,,0,0,"0,02",0,"0,02"
Kuroko's Basketball: Ties to Future,3DS,,,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,08",0,"0,08"
Kurogane Kaikitan,,,,,PSV,,,,2015,Adventure-Minato Station,,0,0,"0,01",0,"0,01"
Kung Fu Panda: Showdown of Legendary Legends,,,,,,X360,,,2015,Action-Little Orbit,,0,"0,03",0,0,"0,03"
Kung Fu Panda: Showdown of Legendary Legends,,,PS3,,,,,,2015,Action-Little Orbit,,0,"0,02",0,0,"0,02"
Kung Fu Panda: Showdown of Legendary Legends,3DS,,,,,,,,2015,Action-Little Orbit,,0,"0,02",0,0,"0,02"
Koihime Enbu,,,,,,,PS4,,2016,Fighting-Yeti,,0,0,"0,02",0,"0,02"
Koihime Enbu,,,,,,,PS4,,2016,Fighting-Yeti,,0,0,"0,02",0,"0,02"
Kisuato,,,,,PSV,,,,2015,Adventure-TGL,,0,0,"0,03",0,"0,03"
Kirby: Planet Robobot,3DS,,,,,,,,2016,Action-Nintendo,,"0,26","0,1","0,44","0,04","0,85"
Kiniro no Corda 3,3DS,,,,,,,,2015,Adventure-Tecmo Koei,,0,0,"0,01",0,"0,01"
Kenka Banchou 6: Soul & Blood,3DS,,,,,,,,2015,Fighting-Screenlife,,0,0,"0,07",0,"0,07"
Kenka Bancho Otome,,,,,PSV,,,,2016,Action-Screenlife,,0,0,"0,02",0,"0,02"
Kenka Bancho Otome,,,,,PSV,,,,2016,Action-Screenlife,,0,0,"0,02",0,"0,02"
Kan Colle Kai,,,,,PSV,,,,2016,Action-Kadokawa Games,,0,0,"0,19",0,"0,19"
Kamigami no Asobi InFinite,,,,,PSV,,,,2016,Adventure-Broccoli,,0,0,"0,01",0,"0,01"
Kamen Rider: Battride War Genesis,,,,,,,PS4,,2016,Action-Namco Bandai Games,,0,0,"0,05",0,"0,05"
Kamen Rider: Battride War Genesis,,,,,PSV,,,,2016,Action-Namco Bandai Games,,0,0,"0,05",0,"0,05"
Kamen Rider: Battride War Genesis,,,PS3,,,,,,2016,Action-Namco Bandai Games,,0,0,"0,04",0,"0,04"
Kaleidoeve,,,,,PSV,,,,2015,Adventure-HuneX,,0,0,"0,02",0,"0,02"
Kaitou Joker: Toki o Koeru Kaitou to Ushinawareta Houseki,3DS,,,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,01",0,"0,01"
Just Dance: Disney Party 2,,,,,,X360,,,2015,Action-Ubisoft,,"0,05","0,01",0,"0,01","0,07"
Just Dance: Disney Party 2,,,,,,,,XOne,2015,Action-Ubisoft,,"0,05","0,01",0,"0,01","0,07"
Just Dance 2016,,,,,,X360,,,2015,Misc-Ubisoft,,"0,23","0,1",0,"0,03","0,36"
Just Dance 2016,,,,,,,PS4,,2015,Misc-Ubisoft,,"0,16","0,13",0,"0,06","0,35"
Just Dance 2016,,,,,,,,XOne,2015,Misc-Ubisoft,,"0,24","0,04",0,"0,03","0,32"
Just Dance 2016,,,PS3,,,,,,2015,Misc-Ubisoft,,"0,1","0,08",0,"0,04","0,22"
Just Cause 3,,,,,,,PS4,,2015,Action-Square Enix,,"0,46","1,02","0,07","0,28","1,83"
Just Cause 3,,,,,,,,XOne,2015,Action-Square Enix,,"0,42","0,38",0,"0,07","0,88"
Just Cause 3,,PC,,,,,,,2015,Action-Square Enix,,"0,03","0,11",0,"0,01","0,14"
JoJo's Bizarre Adventure: Eyes of Heaven,,,,,,,PS4,,2015,Fighting-Namco Bandai Games,,0,0,"0,03",0,"0,03"
JoJo's Bizarre Adventure: Eyes of Heaven,,,PS3,,,,,,2015,Fighting-Namco Bandai Games,,0,0,"0,03",0,"0,03"
Jikkyou Powerful Pro Baseball 2016,,,,,PSV,,,,2016,Sports-Konami Digital Entertainment,,0,0,"0,17",0,"0,17"
Jikkyou Powerful Pro Baseball 2016,,,,,,,PS4,,2016,Sports-Konami Digital Entertainment,,0,0,"0,17",0,"0,17"
Jikkyou Powerful Pro Baseball 2016,,,PS3,,,,,,2016,Sports-Konami Digital Entertainment,,0,0,"0,11",0,"0,11"
J Stars Victory Vs.,,,,,,,PS4,,2015,Fighting-Namco Bandai Games,,"0,07","0,14",0,"0,04","0,25"
Irotoridori no Sekai: World's End Re-Birth,,,,,PSV,,,,2015,Action-HuneX,,0,0,"0,01",0,"0,01"
Infinite Stratos 2: Love and Purge,,,,,PSV,,,,2015,Action-5pb,,0,0,"0,01",0,"0,01"
IA/VT Colorful,,,,,PSV,,,,2015,Misc-Marvelous Entertainment,,0,0,"0,07",0,"0,07"
I Doll U,,,,,PSV,,,,2015,Adventure-Idea Factory,,0,0,"0,02",0,"0,02"
Hyrule Warriors,3DS,,,,,,,,2016,Action-Nintendo,,"0,16","0,12","0,11","0,03","0,42"
Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,,,,,PSV,,,,2015,Role-Playing-Compile Heart,,0,0,"0,03",0,"0,03"
Hyperdimension Neptunia Victory II,,,,,,,PS4,,2015,Role-Playing-Idea Factory International,,0,0,"0,04",0,"0,04"
Hyakka Yakou,,,,,PSV,,,,2015,Action-Unknown,,0,0,"0,01",0,"0,01"
Hyakka Hyakurou: Sengoku Ninpoujou,,,,,PSV,,,,2016,Adventure-D3Publisher,,0,0,"0,02",0,"0,02"
"Horse Life 4: My Horse, My Friend, My Champion",3DS,,,,,,,,2015,Action-Unknown,,0,"0,01",0,0,"0,01"
Homefront: The Revolution,,,,,,,PS4,,2016,Shooter-Deep Silver,,"0,05","0,19","0,03","0,04","0,31"
Homefront: The Revolution,,,,,,,,XOne,2016,Shooter-Deep Silver,,"0,05","0,07",0,"0,01","0,12"
Homefront: The Revolution,,PC,,,,,,,2016,Shooter-Deep Silver,,0,"0,02",0,0,"0,02"
Hitotsu Tobashi Renai V,,,,,PSV,,,,2015,Adventure-Kaga Create,,0,0,"0,01",0,"0,01"
Hitman (2016),,,,,,,PS4,,2016,Action-Square Enix,,0,"0,04",0,"0,01","0,04"
Hitman (2016),,,,,,,,XOne,2016,Action-Square Enix,,0,"0,01",0,0,"0,01"
Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,,,,,PSV,,,,2015,Simulation-FuRyu,,0,0,"0,03",0,"0,03"
Higurashi no Naku Koro ni Iki,,,,,PSV,,,,2015,Action-Kaga Create,,0,0,"0,03",0,"0,03"
Higurashi no Naku Koro ni Iki,,,PS3,,,,,,2015,Action-Kaga Create,,0,0,"0,01",0,"0,01"
Hearts of Iron IV,,PC,,,,,,,2016,Strategy-Paradox Interactive,,0,"0,03",0,0,"0,03"
Hatsune Miku: Project Mirai DX,3DS,,,,,,,,2015,Misc-Sega,,"0,15","0,04","0,1","0,02","0,31"
Hatsune Miku: Project Diva X,,,,,PSV,,,,2016,Misc-Sega,,"0,01",0,"0,1",0,"0,12"
Hatsune Miku: Project Diva X,,,,,,,PS4,,2016,Misc-Sega,,"0,01",0,"0,02",0,"0,04"
Hasbro Family Fun Pack,,,,,,,,XOne,2015,Misc-Ubisoft,,"0,1","0,02",0,"0,01","0,13"
Harukanaru Toki no Naka de 6,,,,,PSV,,,,2015,Action-Tecmo Koei,,0,0,"0,03",0,"0,03"
Harukanaru Toki no Naka de 6,,,,PSP,,,,,2015,Action-Tecmo Koei,,0,0,"0,02",0,"0,02"
Handball 16,,,,,,,PS4,,2015,Sports-Bigben Interactive,,0,"0,05",0,"0,01","0,06"
Handball 16,,,PS3,,,,,,2015,Sports-Bigben Interactive,,0,"0,04",0,"0,01","0,05"
Handball 16,,,,,,X360,,,2015,Sports-Bigben Interactive,,0,"0,01",0,0,"0,01"
Halo 5: Guardians,,,,,,,,XOne,2015,Shooter-Microsoft Game Studios,,"2,64","1,2","0,03","0,39","4,26"
Hakuoki: Shinkai - Hana no Shou,,,,,PSV,,,,2016,Adventure-Idea Factory,,0,0,"0,02",0,"0,02"
Hakuoki: Shinkai - Furi no Shou,,,,,PSV,,,,2015,Action-Idea Factory,,0,0,"0,02",0,"0,02"
Hakuoki: Reimeiroku - Omouhase Kara,,,,,PSV,,,,2015,Action-Idea Factory,,0,0,"0,01",0,"0,01"
Hakuoki Zuisouroku Omokage Hana,,,,,PSV,,,,2015,Action-Idea Factory,,0,0,"0,03",0,"0,03"
Haikyu!! Cross Team Match!,3DS,,,,,,,,2016,Adventure-Namco Bandai Games,,0,0,"0,04",0,"0,04"
Gundam Breaker 3,,,,,PSV,,,,2016,Action-Namco Bandai Games,,0,0,"0,12",0,"0,12"
Gundam Breaker 3,,,,,,,PS4,,2016,Action-Namco Bandai Games,,0,0,"0,09",0,"0,09"
Guitar Hero Live,,,,,,,PS4,,2015,Misc-Activision,,"0,32","0,35",0,"0,13","0,81"
Guitar Hero Live,,,,,,,,XOne,2015,Misc-Activision,,"0,29","0,17",0,"0,05","0,51"
Guitar Hero Live,,,PS3,,,,,,2015,Misc-Activision,,"0,09","0,14",0,"0,05","0,28"
Guitar Hero Live,,,,,,X360,,,2015,Misc-Activision,,"0,12","0,1",0,"0,02","0,24"
Guilty Gear Xrd -Revelator-,,,,,,,PS4,,2016,Fighting-PQube,,"0,02",0,"0,05",0,"0,07"
Guilty Gear Xrd -Revelator-,,,PS3,,,,,,2016,Fighting-PQube,,"0,01","0,02","0,02","0,01","0,07"
Gudetama: Hanjuku de Tanomuwa,3DS,,,,,,,,2015,Action-Rocket Company,,0,0,"0,03",0,"0,03"
Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,,,,,,,,2015,Action-Capcom,,0,0,"0,19",0,"0,19"
Gravity Rush Remastered,,,,,,,PS4,,2015,Action-Sony Computer Entertainment,,"0,02","0,05","0,04","0,01","0,13"
Gravity Falls: Legend of the Gnome Gemulets,3DS,,,,,,,,2015,Action-Ubisoft,,"0,03",0,0,0,"0,04"
Grand Theft Auto V,,PC,,,,,,,2015,Action-Take-Two Interactive,,"0,36","0,64",0,"0,08","1,08"
Grand Theft Auto V,,PC,,,,,,,2015,Action-Take-Two Interactive,,"0,36","0,64",0,"0,08","1,08"
Grand Kingdom,,,,,PSV,,,,2015,Role-Playing-Nippon Ichi Software,,"0,01","0,02","0,04","0,01","0,07"
Grand Kingdom,,,,,,,PS4,,2015,Role-Playing-Nippon Ichi Software,,"0,02",0,"0,03",0,"0,06"
Grand Ages: Medieval,,,,,,,PS4,,2015,Strategy-Kalypso Media,,0,"0,05","0,01","0,01","0,07"
Grand Ages: Medieval,,PC,,,,,,,2015,Strategy-Kalypso Media,,0,"0,04",0,0,"0,05"
Goosebumps: The Game,3DS,,,,,,,,2015,Adventure-WayForward Technologies,,"0,05",0,0,"0,01","0,05"
God of War III,,,,,,,PS4,,2015,Action-Sony Computer Entertainment,,"0,23","0,29","0,01","0,1","0,63"
God Eater Resurrection,,,,,PSV,,,,2015,Action-Namco Bandai Games,,0,0,"0,19",0,"0,19"
God Eater Resurrection,,,,,,,PS4,,2015,Action-Namco Bandai Games,,0,0,"0,08",0,"0,08"
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,,,,,,,PS4,,2016,Misc-Namco Bandai Games,,0,0,"0,01",0,"0,01"
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,,,,,,,PS4,,2016,Action-Namco Bandai Games,,0,0,"0,01",0,"0,01"
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,,,,,,,PS4,,2016,Action-Namco Bandai Games,,0,0,"0,01",0,"0,01"
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,,,,,,,PS4,,2016,Action-Namco Bandai Games,,0,0,"0,01",0,"0,01"
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,,,,,,,PS4,,2015,Misc-Namco Bandai Games,,0,0,"0,03",0,"0,03"
God Eater 2: Rage Burst,,,,,PSV,,,,2015,Role-Playing-Namco Bandai Games,,0,"0,01","0,37",0,"0,38"
God Eater 2: Rage Burst,,,,,,,PS4,,2015,Role-Playing-Namco Bandai Games,,0,"0,01","0,09",0,"0,1"
Gochuumon wa Usagi Desu ka?? Wonderful Party!,,,,,PSV,,,,2016,Adventure-5pb,,0,0,"0,02",0,"0,02"
Goat Simulator,,,,,,,,XOne,2016,Simulation-Koch Media,,0,"0,01",0,0,"0,01"
Girls Mode 3: Kirakira Code,3DS,,,,,,,,2015,Action-Nintendo,,0,0,"0,23",0,"0,23"
Girl Friend Beta: Kimi to Sugosu Natsuyasumi,,,,,PSV,,,,2015,Action-Namco Bandai Games,,0,0,"0,02",0,"0,02"
Ghostbusters (2016),,,,,,,PS4,,2016,Action-Activision,,"0,02",0,0,"0,01","0,03"
Ghostbusters (2016),,,,,,,,XOne,2016,Action-Activision,,"0,02",0,0,0,"0,02"
Ghostbusters (2016),,,,,,,,XOne,2016,Action-Activision,,"0,02",0,0,0,"0,02"
Genkai Tokki: Seven Pirates,,,,,PSV,,,,2016,Role-Playing-Compile Heart,,0,0,"0,02",0,"0,02"
Genkai Tokki: Seven Pirates,,,,,PSV,,,,2016,Role-Playing-Compile Heart,,0,0,"0,02",0,"0,02"
Genkai Tokki: Moero Crystal,,,,,PSV,,,,2015,Role-Playing-Compile Heart,,0,0,"0,06",0,"0,06"
Gears of War: Ultimate Edition,,,,,,,,XOne,2015,Shooter-Microsoft Game Studios,,"2,38","0,32",0,"0,31",3
Game of Thrones (Telltale),,,PS3,,,,,,2015,Adventure-Telltale Games,,"0,02","0,03",0,"0,01","0,06"
Game of Thrones (Telltale),,,,,,,PS4,,2015,Adventure-Telltale Games,,"0,04",0,0,"0,01","0,05"
Game of Thrones (Telltale),,,,,,X360,,,2015,Adventure-Telltale Games,,"0,02","0,01",0,0,"0,03"
Game of Thrones (Telltale),,,,,,,,XOne,2015,Adventure-Telltale Games,,"0,03",0,0,0,"0,03"
Gal Gun: Double Peace,,,,,PSV,,,,2015,Action-PQube,,0,"0,02","0,01",0,"0,03"
Gakusen Toshi Asterisk Festa: Houka Kenran,,,,,PSV,,,,2016,Fighting-Namco Bandai Games,,0,0,"0,03",0,"0,03"
Fuuraiki 3,,,,,PSV,,,,2015,Action-Unknown,,0,0,"0,01",0,"0,01"
Future Card Buddy Fight: Yuujou no Bakunetsu Fight,3DS,,,,,,,,2015,Action-FuRyu,,0,0,"0,07",0,"0,07"
Forza Motorsport 6,,,,,,,,XOne,2015,Racing-Microsoft Game Studios,,"0,69","0,89","0,03","0,14","1,74"
Forza Horizon 3,,,,,,,,XOne,2016,Racing-Microsoft Game Studios,,"0,15","0,2",0,"0,03","0,38"
Football Manager 2016,,PC,,,,,,,2015,Simulation-Sega,,0,"0,29",0,"0,02","0,31"
Fire Emblem Fates,3DS,,,,,,,,2015,Role-Playing-Nintendo,,"0,71","0,22","0,52","0,1","1,54"
Final Fantasy XIV: Heavensward,,,,,,,PS4,,2015,Action-Square Enix,,0,"0,05","0,06","0,01","0,12"
Final Fantasy XIV: Heavensward,,,PS3,,,,,,2015,Action-Square Enix,,"0,01",0,"0,01",0,"0,02"
Final Fantasy XIV: Heavensward,,PC,,,,,,,2015,Action-Square Enix,,"0,01","0,01",0,0,"0,02"
Final Fantasy X/X-2 HD Remaster,,,,,,,PS4,,2015,Role-Playing-Square Enix,,"0,29","0,25","0,06","0,11","0,71"
